id,score
7b2bb0fc0d384e298cffa6afde9cf6ab,1
7640a6e5d5224c8681cc58de860858f4,5
3ce32e236fa9435183b2180fb213375c,2
fa30fe4c016043e382c441a7ef743bfb,0
71229eb293314c8a9e545057ecc32c93,2
7d1a41e5ef48410fa7ff647a4bf87eed,1
cd04338e68cf4115a62905eac3e222db,1
683b200ad5014e84a441db677f990d75,3
6c1dcd9ffb2f49d6be05f06e765d30cd,3
525f6240623c468c8b8ce37b6b34694d,1
21910e89165047259510026f5d86368e,8
64292471b6b442e598b82dc634d73fc2,9
6e569b06a78a451888f6a100621f50bf,5
0c88c8f1e60343b3a10f5090eb815df1,4
150a4dc86aa5460e8e616c4a6a2cb291,4
9c0e93e99b8f4b4fb9dd67a77155f33a,0
eda8d049110348358ce355a2a6db71ba,2
aaba067428c34da4982f0f1bcb6aa112,1
59b1017c808e40bea8120bde45ed3609,5
b71b13e0d2ff463eaa81a8d30b43fb17,4
ab5b5dd6b4024e8d87bd9ffe5c6fabbf,2
ced5d4157c7744c1b751b4384c565192,7
38632ab7a7314fc38526d6ced7b42468,4
387c8b77a2cb4c13b79296d201a6dacc,4
b8a82e40087f41bcae7031f994fffb19,5
eedc081d29554ce08b6f791c6afb7c72,2
3184e5dd76d740118527fbdcf169ec7b,3
53514a947a5c47f6bea05153fd6e78ab,9
47554a26bd48497da0f91e3728ef6675,1
dbe652f8635c43f2b7612f6e532a3ded,3
a3316047dbf54368b7da0ae07ada7484,2
e392fd43c3d04b65be45b1be2441834e,9
1eada9dd3d324019bc80a1bd0532ba44,5
f6b853bec98c40539e2e18028c7138ef,2
fae86593a646400ea1772b9aeffea2fd,1
05d7a5d893284b5dbf6555b01568ab2e,2
206b36b3f3a7454ab8438068a196381d,3
2f736ed64b354b2d91b9fcf38589f9e7,4
7bc96d8084be4e00951d1e694bc937cf,1
8ee0c606af4740b8b40195c44a1df51b,7
1e1cc6a8dbfd4b4983689d1c8317364b,4
d580a1476f7a4e2ebd9984a141a026e0,2
1189705c6c1e4a03a3e294eb6287888c,1
cd241d001bea4300b77a323c96c7062c,3
c657bb4bef4a48ff83dd27b497a3ed56,10
398ff3f3bfce48ab922a23b13ff08a9f,0
9472f02673ef4570a19d40f8d4e7a6eb,2
94d60cb0ce784925812bdfab21152798,1
df69635b8b41460db47e07f69b068931,7
c312a4fb97f54ebebfbdd8793a306c98,0
ea0d1620028e49edbce31e248e0a78e3,1
f96c18f53e594252ba817f6baaf7495d,5
2f5c0aaec1db45d5b69d1b048cde81f9,3
c643a5cc6a4f4f02bc91bd663cf33577,30
9ed8471997e14bcb83bab8c79b8e1f44,2
e965fa039c164186a93b98fdcfc3b7b4,1
2f0eb6eb4ddb40feb71c945be1745a35,2
f4da3debc0a1488cbe66097b15ffe992,4
bcb3d96f74104351938c362893b77e33,1
6400bb3040c746168b8364cadce49c08,0
bab1c7dac4ff42fab07a24a8c3604486,1
d6cd63b357e34d0ab61fd45eeb5ef8cb,3
2b98c4aba396459f8362caa2d6bcdcfe,2
f70ae9cb66d44c6b8e1c2e5b4163b812,3
0b4b7391a9ff412c81f33e36ffb52bb2,7
4c15563eb39a4c2c8ba09daf870ba212,3
eac0721e8a6c4b89896a8d26e7e85741,14
dc738e3e7e9d40cfa77ac56f448da3fa,0
c6a37b7d02674cbdb287ba82faa24a98,6
9605cbee78814c9b9f6154ca105fb68a,2
e1ced12791304dbca04f4b979500ccef,3
9ec5ba7681ab41559579ed900aa3215a,0
d65292fa551e4541babcd011f51f6e96,3
b8375f8b16d5471ca94f418644701d37,2
65b5d8d909864d689b73d3c9af910c2a,1
5d271e67268e4e9f8d8e7d66abb6540f,1
8b4e0f31332644ac8b928151de4b0662,3
4b7a7eb6daf344e78bfe4b6c799f5ca1,0
0f7a83ff8fd74dca91b7f71494b577f5,4
c88a626a558f484e94c0327e621c5633,2
02337467452f435da0346a187d8de841,1
ed8202af9d204843a3b0a4111dc371a3,3
69409b8bbf4243ad80eae8e67551efac,0
62f28961385144c2994faa9619705a6a,9
b607c0c90131480a9eb88696688f6a7f,3
0cf9b9d16fd24b6f9cdc91c50c8907a6,0
0771c57461bb4384a5e7958965cfe897,0
e25ada085da6497bb222836fc4dbbd6a,0
4c4b1123c8b84be6a05c698ff3185572,0
a9337397fb04420cbc405e703d521786,0
f12906528a5f45dabd8503dfd452f899,14
8d195fdf5fad4d52afaf85562da18ec6,7
0153511dcc8e4157893aa5f797f0904b,5
85142cb98ca94dc1939f74f8e0007849,1
648f5e941a5445d48a2a4c4f62326f09,6
e5380ae7e29c4ab5a35e55fe64f583cf,0
b8321456238e45428e0424a638b553c6,5
ecbacbb08d8540a8961f7404713c046d,3
4570cb0d84d6478bad46e9b1741e4ec9,22
56d3b5e02fb4466fa7a8f3a202f32377,2
dfb6863bc8484624b66eea9560215781,1
8bb212fe49a74a6f8479022b4886aadd,3
aa63a50a146246848764fe271f48cff5,2
895fb5f4df734c3fadd79f711720b371,4
0f5ac5255fba4228929a45e3a1ecfe04,4
89d8e6fa34d94bbea9d763d4d6e4231a,1
f4f683322be2484d871dfa3221863b16,2
a9f269a8962146c3bf12ae074da2c68c,6
f85832de7d2d4d578c1f0247a2f457a3,0
6f8ec58d9eca492f8a291a5ba5c1852c,1
6e99e54f85ca4765a0ee993e04e2c25d,0
dcd28a8481eb4f19ac3d78a80bf62496,2
b3206ba0237a4d24862df6008d24dc80,4
e2b3b0e1d0e949dab6ef61ad925f5465,2
4bac995c4a5a4df7a8851234798a592e,1
3a0fb90bd058453099abef8e85b21d05,1
339dca1d80b545008d89a1f3a0bf6600,0
58151dbdc09c44e8a13ae52e44fdf109,0
3f742b92ff6748b58640337f7a008ac9,3
e7ca7c6761c34a0f864b8908126f9971,2
c0821cbc92ae4e7a89dc8932d52c9699,0
ed3a870e249840c099bed5f0bdffd3c2,5
af52ead247f0441b997c44f075ecb5bc,0
a56fa162e7fb4626bb459a966f30cab2,6
a7bd2b0c9a1246aeba9c8a7ad7f3d4b9,4
cc0e387654e942bd9f4a72fda050dade,2
558f13d2230a4f6190918a917b29a45c,3
5f1688b499474c2389a3c6a435ed4f29,3
52a0012a70514f70a6f3a0b25f16d189,2
c8ac501ed357453d859562a0f61dd693,6
e78bc11b17d847fcb1fb391fbd8ae88a,12
32be471af7364d1e807a40df173574f3,8
98530b1ffb714f80aee2628dfeeacfa2,1
4c84065287414c00b5116c939d382ab8,1
43680beff3de4f67b24605c69fe4fce9,1
d9380d857e9d472aba78423d05e16719,2
d1dda53795cd45d19ee23e8d56b0b585,2
a00771beeb65469b863b24abbe6bc37c,0
c74b4d19700f4361a8d0ee78582d3e51,1
7643efa41e7648a4a89734ee302b860e,1
1ae695471e0f4d8f8749836d1085324e,2
5a1ab3a7033845f2af0215e63767304b,3
2dec0b833ba349bbb9b728347b75f50f,1
4df6093c8f87499089bce56e0c5f4178,2
272c8e92078042f48b87b9e7d38202fd,2
50b6372b3e854d04b8517169c76973aa,1
e6ae3dabb1824e649c52a2947bd3b95f,0
28f0359cbafa4955a0181d08481a0fd5,0
88588e0f6d1549ebb870a7b720fe3bc5,0
79003763790d4089ba3b9a3ef6df73b9,0
75826ee08bf9404aa7982666563b4daa,4
