tag_questions_tag_id,tag_questions_question_id
28930,cb43ebee01364c68ac61d347a393ae39
28930,47f55e85ce944242a5a347ab85a8ffb4
28930,ccc30a033a0f4dfdb2eb987012f25792
28930,e30b274e48d741f7bf50eb5e7171a3c0
28930,3d22742052df4989b311b4195cbb0f1a
28930,c79baebeb6d44726b6f70a2414fb69bc
28930,4eb64ed1527847f29d3e3d8a713bb3dc
28930,bebfb741f4524b8cb871f35b5780b54f
28930,3e7c462a0adb4bfa8830282867f3900b
28930,23b52dd81ad7465a9472596c7dedc492
28930,8adf891fa3d4451fa6f56cbfb85e1ea4
28930,e184549a832647f2a17ee2909d4938cf
28930,a80c0870d2b44ad586988053c86bc0ec
28930,5cdcacacb5f24a3a9bf34507ab7bb0a5
28930,fcee43dddcf546baa6837013213de7f5
28930,1e5fc85f0c0a4d58ab96918f5ec70c24
28930,f005cad7aae34394852de6f58d2129b1
28930,d37274bd121a4f4f8d5cee8c76c191cf
28930,3b0d3e84f1874016b42109fdc15e6d9c
28930,66fb01788f2646caa11babcfc63669c7
28933,7bb68116d0a44afb9945258da7ce7461
28933,5ad683a5f52d46199857e4c3e6eca4c4
28933,dd79931438d7422f9c75bb151df2c516
28933,2547379c118640c6bc431448b742fee4
28933,5b0ba044d7c74408bb55e10f78d184bb
28933,9c3ed93b83894c87baf82090a7d152f7
28933,bf0e71f6c29b4f4c9f50165457c62593
28933,3b635a31be8b4fe299eca3325fe2e365
28933,611d5dcf7e074585a8575f9edacfb576
28933,47f0f2c98691462ca7d957e3a59b12a1
28933,b74318c062474bb29ef166d0638c989a
28933,4532aa701f434fd691937993c4e646d9
28933,819ae497d9354f69ba08b795f2b99525
28933,4e612e5865dc449d9ef91a549347d183
28933,77867a2ba4ca43dbb7e825cc3cb46175
28933,d41923eb8bbe4c6e8bc470e4c411c790
28933,ba00c3863ed74825be87c5e00d10a9ed
28933,46f214b5dd074c9cb71bdafb36aad88c
28935,2547379c118640c6bc431448b742fee4
28935,5b0ba044d7c74408bb55e10f78d184bb
28935,d92ad62c98a246dc8d6ec1e06bb412fb
28935,bf0e71f6c29b4f4c9f50165457c62593
28935,47f0f2c98691462ca7d957e3a59b12a1
28935,ba00c3863ed74825be87c5e00d10a9ed
28935,46f214b5dd074c9cb71bdafb36aad88c
55,3df85465e0024681a19b10c8c7dfee62
55,d1da0268a80b41af887c0490d67a8298
55,8118012aef3746f39f8b4cfb9c157bc2
55,606dbdca5def439aa3eb59258ae7f5b9
55,598bea9108ca4775ba730b0e6a567929
55,e1f37345300844469ff555c631dfefe9
55,e74bdb86dcfa42f183b5497c16c90b72
55,171835bc180943e6ab1e7371f84227d5
55,e9023f29d3a84abca1222c65ecc647fe
55,ea7301136e1042959ab131d4e8f953c4
55,d09217aaa9ca4470b8dea389d719c0db
55,5330f952ff854b81b70f3130cd799e9b
55,a4f1df61dcc8468693b641bd691b6123
